,bill_date,bills_start,bills_end,bill_period,meter,consumption,peak,consumption_rate,peak_rate,fuel_rate,regulatory_rate,service_charge,consumption_charge,peak_charge,fuel_charge,regulatory_charge,total_bill
0,09/28/21,2021-08-25,2021-09-24,31,66863,974,374,0.0691,0.0198,0.01718,0.01236,8.75,67.3034,7.405200000000001,16.73332,12.03864,112.23055999999998
1,10/27/21,2021-09-25,2021-10-25,31,67645,782,0,0.0691,0.0,0.02568,0.01236,8.75,54.036199999999994,0.0,20.081760000000003,9.665519999999999,92.53348
2,11/29/21,2021-10-26,2021-11-23,29,68433,788,0,0.0691,0.0,0.02899,0.01236,8.75,54.450799999999994,0.0,22.84412,9.73968,95.78459999999998
3,12/28/21,2021-11-24,2021-12-23,30,69389,956,0,0.0691,0.0,0.02382,0.01236,8.75,66.05959999999999,0.0,22.77192,11.81616,109.39767999999998
4,01/28/22,2021-12-24,2022-01-26,34,71014,1625,0,0.0691,0.0,0.01882,0.01236,8.75,112.2875,0.0,30.5825,20.085,171.705
5,02/25/22,2022-01-27,2022-02-23,28,72565,1551,0,0.0691,0.0,0.02631,0.01278,8.75,107.1741,0.0,40.80681,19.82178,176.55268999999998
6,03/25/22,2022-02-24,2022-03-23,28,73703,1138,0,0.07188,0.0,0.02889,0.01278,9.1,81.79944,0.0,32.87682,14.54364,138.31990000000002
7,04/27/22,2022-03-24,2022-04-25,33,74397,694,0,0.07188,0.0,0.02745,0.01278,9.1,49.88472,0.0,19.0503,8.86932,86.90434
8,05/26/22,2022-04-26,2022-05-24,29,75229,832,0,0.07188,0.0,0.03062,0.01278,9.1,59.804159999999996,0.0,25.47584,10.63296,105.01295999999999
9,06/27/22,2022-05-25,2022-06-23,30,76481,1252,652,0.07188,0.0206,0.04093,0.01278,9.1,89.99376,13.4312,51.24436,16.00056,179.76988
10,07/27/22,2022-06-24,2022-07-25,32,77789,1308,708,0.07188,0.0206,0.03902,0.01278,9.1,94.01904,14.5848,51.03816,16.71624,185.45824
11,08/25/22,2022-07-26,2022-08-23,29,78953,1164,564,0.07188,0.0206,0.03835,0.01278,9.1,83.66832,11.6184,44.6394,14.875919999999999,163.90204
12,09/27/22,2022-08-24,2022-09-23,31,79963,1010,410,0.07188,0.0206,0.03654,0.01278,9.1,72.5988,8.446,36.9054,12.9078,139.958
